timestamp,log exp request recency,log request recency,gdsf,log time recency,number of observations,time recency,log bhr,exp request recency,log gdsf,exp time recency,request recency,frequency,entropy,log size,size,log exp time recency,log frequency
1422690858,6.87616005477,6.29844233569,7870.58005828,2.45078097439,1791683.75766,280.670877979,17.3729648462,198173.673457,1.04508980342,277.305412243,189924.33925,0.0136935157776,12.3632221734,9.20902732482,594399.393971,2.59597086719,7.28395431549
1422690918,6.82672652562,6.28946473176,7294.57087944,2.48172348918,1890353.81053,328.34979595,17.4577665341,196794.815308,0.768388141023,271.56850778,222280.062151,0.0144433292788,12.3523360505,9.11307733758,438766.554574,2.58661897774,7.17930039188
1422690978,6.68760820816,6.1551959327,7101.72781517,2.43600376992,1923821.45958,309.097550919,17.560793101,205005.028727,0.836052613109,284.608713077,209097.054974,0.0146948078383,12.2704789203,9.19842285704,583157.617108,2.53894322063,7.11278629964
1422691038,6.43121484543,5.90525942691,7634.19686401,2.34152641767,2079543.73976,278.15884967,17.6717769164,196954.947173,0.581654603566,276.050645421,186604.606103,0.015879974,12.2135698265,9.12671575996,614125.455943,2.42539606393,6.99346607406
1422691098,6.54655442899,6.03384202421,8089.07082813,2.4084529383,2096901.74955,281.079362797,17.7312395647,199068.59117,0.628602671058,279.786716253,187915.96305,0.0160081731338,12.1939336084,9.17992111788,598209.437847,2.48398507411,7.01146365418
1422691158,6.53838000573,6.01244729824,7297.77222331,2.3928580752,2003433.38156,289.298813869,17.4646644316,197359.672337,0.732226909318,277.726639652,192478.030109,0.0152905917385,12.1344975051,9.09844567046,556131.454465,2.46706954527,7.10526049193
1422691218,6.81061051418,6.24421178398,7739.05428504,2.50182687341,1890112.36819,313.99771084,17.4051862485,212541.412081,0.961950823533,299.61436085,207994.695011,0.0144218437229,12.0797378298,9.18356853601,605986.052958,2.62778135694,7.18823420742
1422691278,7.30456210502,6.75207081631,6950.8780524,2.68445865312,1717218.84456,313.727088788,17.3010257621,214370.000027,0.958225668493,299.488887909,207032.845465,0.0130986563044,12.0891782766,9.12962571531,688790.195834,2.84540639074,7.33029720645
1422691338,6.84371880351,6.28463162919,6748.11557733,2.44876255217,1863154.35855,303.479511661,17.5000928586,201057.537325,0.847345378097,280.665826158,202544.149212,0.0142074282903,12.0780847979,9.17371911832,504554.069496,2.60465347873,7.17667313059
1422691398,6.57646044532,6.0670193276,7617.21131058,2.42399465608,1982857.66331,312.334489557,17.3563107348,209331.101648,0.775470048236,294.99394181,209195.878696,0.0151156399871,12.0911709505,9.06589039153,318065.201707,2.51667084703,7.0832329496
1422691458,6.93120710758,6.39872920415,6642.23923382,2.52887456165,1967970.41548,319.805477304,17.4307681276,240380.354658,0.823422608528,327.760832975,213056.335571,0.0149976367814,12.085317353,9.12709536806,345049.422041,2.66700842878,7.18045441007
1422691518,7.16220007866,6.59314779643,6845.50490356,2.60157050467,1840175.41733,313.094569419,17.289085498,227057.443754,0.932579886187,315.307499054,209494.78103,0.0140190796578,12.1137739253,9.11083269211,483373.568162,2.78227743929,7.26467346201
1422691578,6.68069117403,6.12563551215,7199.70158732,2.46184521345,2015963.83261,328.122318373,17.2670405157,224904.083148,1.07968017349,316.202734322,220073.134144,0.0153536986388,12.1408394363,9.17336034461,681203.446284,2.57678060721,7.15396312502
