timestamp,log exp request recency,log request recency,gdsf,log time recency,number of observations,time recency,log bhr,exp request recency,log gdsf,exp time recency,request recency,frequency,entropy,log size,size,log exp time recency,log frequency
1437182663,8.28321535489,7.80596120963,1246.77269682,2.94990252286,18265.3916954,342.794994147,14.060425658,478464.838795,3.13698755203,323.735866389,482135.533706,8.18554251324e-05,16.0382143062,8.59870660503,941278.278345,3.04567472128,8.91907923332
1437182723,8.64699809478,8.09302364011,974.575058115,2.93554946332,20344.279675,315.200537602,14.6081223316,448864.764464,2.87912444839,305.163208506,439954.34657,9.11402480144e-05,16.0362194392,8.74362338998,432743.765569,3.13793188004,8.88708507372
1437182783,8.69690911689,8.18382828534,1111.4790339,2.90153288408,22293.4938981,298.847229421,14.8622159024,408308.998343,2.74072766639,278.094778857,418254.67666,9.98363263369e-05,16.0453802632,8.80147178441,457644.425894,3.09693130314,8.85819026576
1437182843,8.45387758197,7.9374270195,1034.62967643,2.82068046198,22740.1290358,301.338594054,14.7960996416,418083.401857,2.67681021634,284.21158183,422764.00885,0.000101800251458,16.0358842387,8.73645492896,662398.890706,2.9680673267,8.84755587498
1437182903,8.35061261665,7.82533407105,1066.66364402,2.84730403363,22687.2500072,287.617359132,14.4708704725,396693.931684,2.67176094888,271.501350314,397520.75984,0.000101531591487,16.024303291,8.5713157107,854456.910613,2.97360493333,8.85924514863
1437182963,8.57337174647,8.02758172657,918.922228801,2.82911810707,23052.8537307,285.021490368,14.8806958181,400214.734746,2.63258158549,273.773612105,393741.332138,0.000103133158152,16.0198066408,8.75663870181,541025.887747,3.03265231331,8.85071404193
1437183023,8.56536166212,8.02971336707,1028.09419394,2.83192291752,23821.1383495,294.659574737,14.8772028978,409150.565983,2.66730134161,280.026776371,408610.045522,0.000106531093351,16.0678783374,8.77225211971,555663.039088,3.01584786065,8.8386930747
1437183083,8.34494554117,7.87470459675,1244.26725553,2.86141969131,22753.6832944,306.256138556,14.7902507125,415724.738097,2.9044403204,284.665229392,422180.44563,0.000101723818933,16.0624228325,8.84734551647,702636.475183,2.95583836414,8.85417273098
1437183143,8.37863435175,7.90731042013,1228.31166323,2.89485543113,25226.6924728,310.78622025,14.8163366393,429769.434626,2.71433452925,295.23075904,422952.741944,0.000112747092752,16.0626122291,8.76533558425,737974.533522,2.97393468158,8.82137252007
1437183203,8.52286177361,8.02051650223,1071.00504341,2.93650325074,24091.1501665,315.186736867,14.9043950816,440377.283592,2.68595014572,303.473784137,423316.762203,0.000107640755369,16.0440361939,8.79517261367,661324.677857,3.05283286831,8.83136073217
1437183263,8.51367520809,7.99474367403,1012.47647934,2.81221980707,24572.0289274,288.319194156,14.9441711445,390982.5546,2.48662844388,270.395638664,387851.091071,0.000109754065132,15.9994041438,8.71539979421,538833.239348,2.99162688364,8.82561045131
1437183323,8.5698100572,8.07120415556,1005.43278279,2.86350132676,22263.9064669,299.216085384,14.8532542569,405546.852133,2.66736493821,280.688731906,404487.201627,9.94096223455e-05,15.9669762092,8.76030959754,448970.570263,3.04029059775,8.85178362036
1437183383,8.52839938549,8.05318213057,1218.58749233,2.93649436177,23592.6229815,305.384058632,14.8211768282,421831.791108,2.6759253937,291.54321637,408204.297175,0.000105308295396,15.9409677295,8.74855111092,564900.550071,3.05106378086,8.83852485971
1437183443,8.43975437713,7.95639982049,1184.00648345,2.9256015518,23417.1291813,329.405055332,14.7482759568,437827.81951,2.73534529723,305.213740802,440022.292867,0.00010449551398,15.919843401,8.741810627,658944.295036,3.02570821494,8.84113058877
1437183503,8.59327597883,8.08698262178,884.636875768,2.89087849309,23463.2076028,302.044069736,14.9771808702,392137.960664,2.66209829704,273.352365352,399562.700465,0.000104667917084,15.9196720001,8.81963958362,524388.16265,3.06960247058,8.84055472656
1437183563,8.62643033806,8.08073939545,906.727999167,2.81089292714,22954.6630755,286.550903858,15.0024357814,387482.450004,2.64999880774,269.941265067,384258.128383,0.000102360815716,15.9282777932,8.82621729458,347309.194753,3.05319747577,8.84731354055
1437183623,8.73466800645,8.16979288447,1050.16181565,2.91137627053,23512.4696462,300.956013412,15.0650995165,406734.666327,2.65051587467,283.64643129,402965.123195,0.000104810947722,15.9163914189,8.85780769561,151204.931439,3.10839377975,8.84170864435
1437183683,8.43363627793,7.91698997987,1088.32384687,2.88689134799,23165.0721077,291.783988833,15.121160511,394074.513849,2.89641355693,276.031081012,384337.552311,0.000103233332983,15.9059878332,9.00878703399,311512.987405,2.99608859773,8.84767074399
1437183743,8.66798939402,8.13791487839,981.968780347,2.97938743388,21516.9360821,286.28671528,15.0991036363,382921.396476,2.88640377704,268.503931406,371993.241253,9.58608634178e-05,15.9097896276,8.99275370668,205633.603829,3.13383777076,8.87667424076
1437183803,8.45416593842,7.93950667634,945.724620671,2.90578742935,21365.9926683,282.669486928,15.0851012264,373152.114576,3.09832638538,263.213378544,367190.497881,9.51600005182e-05,15.93110577,9.09171380589,352334.698154,3.04489361952,8.87868165295
1437183863,8.73042402642,8.19830261379,894.964471265,2.98899484962,21090.0630488,338.114450545,14.9068609082,428918.835511,3.10201388401,301.874346244,440961.875257,9.39002666163e-05,15.9717988546,9.00443739608,283989.673544,3.1989364142,8.89077974905
1437183923,8.77080065436,8.23508388944,908.681931887,2.98690021784,21150.9045143,354.931245245,14.907472258,458071.224439,3.10769774282,321.375158315,468302.583908,9.41368575378e-05,16.0042171151,9.0075850004,191772.595714,3.20317579634,8.8856079712
1437183983,8.30738485676,7.79643706033,1011.47249908,2.87282253636,21873.5772902,306.036415136,14.8239821483,414073.736346,3.14850291607,291.234610019,399579.701559,9.73216830385e-05,16.0304594692,8.98624253216,330291.589277,2.98819286831,8.87208174815
1437184043,8.62639157539,8.08941336408,1074.05281013,2.99465230029,20511.1274438,325.871824199,14.9045920276,407308.543433,3.0069122575,287.415038669,421902.455821,9.12339098237e-05,16.0465110623,8.95575214255,568539.849681,3.13485930166,8.89363716336
1437184103,8.54707810499,8.02460116242,856.32604784,2.87947553636,23551.7086366,301.348313579,15.0556118022,375419.189417,2.81087336458,266.182708948,389249.50509,0.000104725198485,16.0523926937,8.93324258339,536591.539067,3.04864776295,8.84925127132
1437184163,8.79158758813,8.22076373881,804.168179334,2.90507060973,20560.4495148,302.506152363,15.0029076692,387090.176653,2.96450437756,274.307822367,393943.808627,9.1391083876e-05,16.0545704474,8.9837060234,287186.747944,3.16407605844,8.89010759785
1437184223,8.5882599969,8.01694910326,878.213639396,2.83727226792,19627.2884601,287.209654562,14.9202144617,384927.870701,3.09682839848,271.887728377,377291.549905,8.72102030964e-05,16.0755752309,9.00852143009,567166.931241,3.0690042779,8.89979413528
1437184283,8.67383526102,8.08507447294,985.600388487,2.9242900937,20756.1977882,306.599474703,14.8371401493,403825.940161,2.88005163711,286.231773399,399191.370846,9.21951673571e-05,16.1075438665,8.8585958932,571301.302599,3.12602805352,8.87960728784
